caution_ranking,to_remove,id,author,quote,char_count
2,,734,Murasaki Shikibu,"Ceaseless as the interminable voices of the bell-cricket, all night till dawn my tears flow.",92
3,x,735,Murasaki Shikibu,Autumn is no time to lie alone.,31
4,x,736,Murasaki Shikibu,Beauty without colour seems somehow to belong to another world.,63
4,x,737,Murasaki Shikibu,"How much the more in judging of the human heart should we distrust all fashionable airs and graces, all tricks and smartness, learnt only to please the outward gaze.",165
3,x,738,Murasaki Shikibu,"One ought not to be unkind to a woman merely on account of her plainness, any more than one had a right to take liberties with her merely because she was handsome.",163
2,,739,Murasaki Shikibu,There is more here than meets the eye.,38
5,x,740,Murasaki Shikibu,"The wood-carver can fashion whatever he will. Yet his products are but toys of the moment, to be glanced at in jest, not fashioned according to any precept or law. When times change, the carver too will change his style and make new trifles to hit the fancy of the passing day. But there is another kind of artist, who sets more soberly about his work, striving to give real beauty to the things which men actually use and to give to them the shape which tradition has ordained. This maker of real things must not for a moment be confused with the maker of idle toys.",567
6,x,741,Li Qingzhao,Sweet words and the wiles and guiles of the shameless passed for truth.,71
2,,742,Li Qingzhao,"When there is possession, there must be loss of possession; when there is gathering together, there must be a scatteringndash this is the constant principle in things.",168
2,,743,Li Qingzhao,Do you know? Do you know? The green leaves are fresh but the red flowers are fading!,84
2,,744,Li Qingzhao,"Flowers drift, water flowsndash one shared longing, two distant sorrows.",73
2,,745,Li Qingzhao,This sorrow cannot be erasedndash it fades from my brow only to rise again in my heart.,88
2,,746,Li Qingzhao,"All remains, yet nothing is the samendash before words come, tears fall.",73
2,,747,Li Qingzhao,"Blushing, I fleendash leaning by the door, I turn to steal a scent of green plums.",83
2,,748,Li Qingzhao,"Drunk, I arrange flowersndash do not laugh at them; pity spring, like me, grows old.",85
3,x,749,Li Qingzhao,"Do not say my soul remains unshakenndash the west wind lifts the curtain, revealing me thinner than chrysanthemums.",116
2,,750,Li Qingzhao,"The West Wind blows the curtains, and I am frailer than the yellow chrysanthemums.",82
2,,751,Li Qingzhao,"I awake in the empty night, face to face with a guttering red candle.",69
4,x,752,Li Qingzhao,"Do you know? Do you know? The green thrives, the red withers.",61
2,,753,Sojourner Truth,Truth is powerful and it prevails.,34
3,x,754,Sojourner Truth,"I feel safe in the midst of my enemies, for the truth is all powerful and will prevail.",87
2,,755,Sojourner Truth,Truth burns up error.,21
4,x,756,Sojourner Truth,"Honey, I jes' walked round an' round in a dream. Jesus loved me! I knew it - I felt it. Jesus was my Jesus. Jesus would love me always. I didn't dare tell nobody; it was a great secret. Everything had been taken away from me that I ever had; an' I thought that if I let white folks know about this, maybe they'd get him away - so I said, 'I'll keep this close. I won't let any one know.'",387
7,x,757,Sojourner Truth,"But then there came another rush of love through my soul, an' I cried out loud,- 'Lord, Lord, I can love even de white folks!'",126
4,x,758,Sojourner Truth,"I am pleading for my people, a poor downtrodden race / Who dwell in freedom's boasted land with no abiding place / I am pleading that my people may have their rights restored, / For they have long been toiling, and yet had no reward / They are forced the crops to culture, but not for them they yield, / Although both late and early, they labor in the field. / While I bear upon my body, the scores of many a gash, / I'm pleading for my people who groan beneath the lash. / I'm pleading for the mothers who gaze in wild despair / Upon the hated auction block, and see their children there. / I feel for those in bondage--well may I feel for them. / I know how fiendish hearts can be that sell their fellow men. / Yet those oppressors steeped in guilt--I still would have them live; / For I have learned of Jesus, to suffer and forgive! / I want no carnal weapons, no machinery of death. / For I love to not hear the sound of war's tempestuous breath. / I do not ask you to engage in death and bloody strife. / I do not dare insult my God by asking for their life. / But while your kindest sympathies to foreign lands do roam, / I ask you to remember your own oppressed at home. / I plead with you to sympathize with signs and groans and scars, / And note how base the tyranny beneath the stripes and stars.",1306
8,x,759,Sojourner Truth,"English womanhood is beset by no such snares and traps as betray the unprotected, untrained colored girl of the South, whose only crime and dire destruction often is her unconscious and marvelous beauty.",203
4,x,760,Sojourner Truth,"What's the matter with me? Why, I'm the most beautiful woman in the world!",74
2,,761,Sojourner Truth,"I see things, I see things only my eyes can see.",48
3,x,762,Simone Weil,"It is impossible that the whole of truth should not be present at every time and every place, available for anyone who desires it.",130
2,,763,Simone Weil,"Truth is one, but error is manifold.",36
6,x,764,Simone Weil,The only way into truth is through one's own annihilation; through dwelling a long time in a state of extreme and total humiliation.,132
4,x,765,Simone Weil,"Force is as pitiless to the man who possesses it, or thinks he does, as it is to its victims; the second it crushes, the first it intoxicates. The truth is, nobody really possesses it.",184
5,x,766,Simone Weil,Truth is sought not because it is truth but because it is good.,63
3,x,767,Simone Weil,"Contradiction itself, far from always being a criterion of error, is sometimes a sign of truth.",95
2,,768,Simone Weil,"Justice, truth, and beauty are sisters and comrades. With three such beautiful words we have no need to look for any others.",124
2,,769,Simone Weil,The need of truth is more sacred than any other need.,53
4,x,770,Simone Weil,"There is something else which has the power to awaken us to the truth. It is the works of writers of genius. They give us, in the guise of fiction, something equivalent to the actual density of the real, that density which life offers us every day but which we are unable to grasp because we are amusing ourselves with lies.",324
2,,771,Simone Weil,Love is not consolation. It is light.,37
2,,772,Simone Weil,"The love of our neighbor in all its fullness simply means being able to say, 'What are you going through?'",106
3,x,773,Simone Weil,"To love purely is to consent to distance, it is to adore the distance between ourselves and that which we love.",111
4,x,774,Simone Weil,Love of God is pure when joy and suffering inspire an equal degree of gratitude.,80
2,,775,Simone Weil,Human existence is so fragile a thing and exposed to such dangers that I cannot love without trembling.,103
6,x,776,Simone Weil,An atheist may be simply one whose faith and love are concentrated on the impersonal aspects of God.,100
5,x,777,Simone Weil,God's love for us is not the reason for which we should love him. God's love for us is the reason for us to love ourselves.,123
2,,778,Simone Weil,Love: To feel with one's whole self the existence of another being.,67
2,,779,Simone Weil,There are only two things that pierce the human heart. One is beauty. The other is affliction.,94
5,x,780,Simone Weil,"Beauty always promises, but never gives anything.",49
2,,781,Simone Weil,Beauty is a fruit which we look at without trying to seize it.,62
2,,782,Simone Weil,The sea is not less beautiful in our eyes because we know that sometimes ships are wrecked by it.,97
6,x,783,Simone Weil,"It may be that vice, depravity, and crime are nearly always, or even perhaps always, in their essence, attempts to eat beauty, to eat what we should only look at.",162
4,x,784,Simone Weil,Beauty captivates the flesh in order to obtain permission to pass right through to the soul.,92
2,,785,Simone Weil,Distance is the soul of beauty.,31
2,x,786,Rigoberta Menchú,"I think that it's very important, and what's really crucial here is the memory of the victims and the search for the truth, and also the commitment to substantiate the truth. So the truth is foremost, because they accused us of being liars. They tried to denigrate the memory of the victims.",291
2,,787,Rigoberta Menchú,It's clear that there is no peace without justice. There is no peace without truth.,83
2,,788,Rigoberta Menchú,A real reconciliation has to be based on the search for truth. We who are the victims of these abuses have a right to the truth.,128
4,x,789,Rigoberta Menchú,The REMHI and the UN Commission are tremendously important because they have exhaustively documented the nature of the crimes committed by the Guatemalan armed forces during the 36-year conflict. We now know the names and stories of many of the victims--as well as of the victimizers.,284
2,x,790,Rigoberta Menchú,The other main achievement of the REMHI project is that no one can now deny what happened in Guatemala. There was a systematic campaign of genocide and ethnocide against the indigenous peoples of Guatemala. REHMI represents a struggle against forgetting. A struggle against indifference.,287
7,x,791,Rigoberta Menchú,We can only love a person who eats what we eat.,47
3,x,792,Rigoberta Menchú,"To be a light to others you will need a good dose of the spiritual life. Because as my mother used to say, if you are in a good place, then you can help others; but if you're not well, then go look for somebody who is in a good place who can help you.",251
2,,793,Rigoberta Menchú,What I treasure most in life is being able to dream. During my most difficult moments and complex situations I have been able to dream of a more beautiful future.,162
6,x,794,Rigoberta Menchú,"What hurts Indians most is that our costumes are considered beautiful, but it's as if the person wearing it didn't exist.",121
2,,795,Rigoberta Menchú,"We are not myths of the past, ruins in the jungle, or zoos. We are people and we want to be respected, not to be victims of intolerance and racism.",147
2,,796,Chief Seattle,My words are like the stars that never change.,46
6,x,797,Chief Seattle,"Whatever Seattle says, the great chief at Washington can rely upon with as much certainty as he can upon the return of the sun or the seasons.",142
2,,798,Chief Seattle,"This we know: the earth does not belong to man, man belongs to the earth.",73
2,,799,Chief Seattle,"The perfumed flowers are our sisters; the deer, the horse, the great eagle: these are our brothers. All things are connected like the blood which unites one's family.",166
2,,800,Chief Seattle,The rivers are our brothers. They quench our thirst. They carry our canoes and feed our children. You must give to the rivers the kindness you would give to any brother.,169
2,,801,Chief Seattle,We are part of the earth and it is part of us... All things are connected like the blood which unites one's family.,115
2,,802,Chief Seattle,The water's murmur is the voice of my father's father.,54
2,,803,Chief Seattle,"The earth is our mother. Whatever befalls the earth befalls the sons of earth. If men spit upon the ground, they spit upon themselves.",134
2,,804,Chief Seattle,"Every part of this earth is sacred to my people. Every shining pine needle, every sandy shore, every mist in the dark woods, every clearing, and humming insect is holy in the memory and experience of my people.",210
2,,805,Chief Seattle,"The earth does not belong to man, man belongs to the earth. All things are connected like the blood that unites us all.",119
5,x,806,Chief Seattle,"The air is precious to the red man, for all things share the same breath5 the beast, the tree, the man, they all share the same breath.",136
3,x,807,Chief Seattle,"We are part of the earth and it is part of us. The perfumed flowers are our sisters; the deer, the horse, the great eagle: these are our brothers.",146
3,x,808,James Baldwin,"Sometimes you hear a person speak the truth and you know that they are speaking the truth. But you also know that they have not heard themselves, do not know what they have said: do not know that they have revealed much more than they have said. This may be why the truth remains, on the whole, so rare.",303
3,x,809,James Baldwin,"Every legend, moreover, contains its residuum of truth, and the root function of language is to control the universe by describing it.",134
2,,810,James Baldwin,There are so many ways to tell the truth.,41
3,x,811,James Baldwin,"Perhaps I did not succumb to ideology 3 because I have never seen myself as a spokesman. I am a witness. In the church in which I was raised you were supposed to bear witness to the truth. Now, later on, you wonder what in the world the truth is, but you do know what a lie is.",278
2,,812,James Baldwin,Not everything that is faced can be changed. But nothing can be changed until it is faced.,90
2,,813,James Baldwin,Love takes off the masks that we fear we cannot live without and know we cannot live within.,92
3,x,814,James Baldwin,"Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.",116
2,,815,James Baldwin,Love him and let him love you. Do you think anything else under heaven really matters?,86
2,,816,James Baldwin,"To be sensual, I think, is to respect and rejoice in the force of life, of life itself, and to be present in all that one does, from the effort of loving to the making of bread.",177
3,x,817,James Baldwin,"Everybody's journey is individual. If you fall in love with a boy, you fall in love with a boy. The fact that many Americans consider it a disease says more about them than it does about homosexuality.",201
5,x,818,James Baldwin,"The South is very beautiful but its beauty makes one sad because the lives that people live here, and have lived here, are so ugly.",131
2,,819,James Baldwin,"American history is longer, larger, more various, more beautiful, and more terrible than anything anyone has ever said about it.",128
4,x,820,Nguyễn Du,"Thiện căn ở tại lòng ta, Chữ tâm kia mới bằng ba chữ tài.",74
5,x,821,Nguyễn Du,"Trăm năm trong cõi người ta, Chữ tài chữ mệnh khéo là ghét nhau.",80
7,x,822,Nguyễn Du,Đau đớn thay phận đàn bà! Lời rằng bạc mệnh cũng là lời chung.,79
3,x,823,Nguyễn Du,"Beautiful girl and talented young man--what stirred their hearts their eyes still dared not say. They hovered, rapture-bound, 'tween wake and dream.",148
2,,824,Nguyễn Du,Now we stand face to face--but who can tell we shan't wake up and learn it was a dream?,87
6,x,825,Nguyễn Du,"As you must weigh and choose between your love and filial duty, which will turn the scale? She put aside all vows of love and troth--a child first pays the debts of birth and care.",180
4,x,826,Nguyễn Du,"Henceforth I'm bound to you for life,"" he said. ""Call these small gifts a token of my love.",91
2,,827,Nguyễn Du,By lamplight turn these scented leaves and read a tale of love recorded in old books.,85
2,,828,Nguyễn Du,"Her eyes are like autumn waters, her brows like spring hills.",61
2,,829,Nguyễn Du,"Flowers envy her bloom, willows sigh at her grace.",50
4,x,830,Nguyễn Du,Blue Heaven's wont to strike a rose from spite.,47
2,,831,Nguyễn Du,"Just as the lotus wilts, the mums bloom forth--time softens grief, and winter turns to spring.",94
2,,832,Sor Juana Inés de la Cruz,"I do not study to know more, but to ignore less.",48
4,x,833,Sor Juana Inés de la Cruz,"O world, why do you wish to persecute me? How do I offend you, when I intend only to fix beauty in my intellect, and never my intellect fix on beauty?",150
4,x,834,Sor Juana Inés de la Cruz,"One will abide, and will confess that another is nobler than he, that another is richer, more handsome, and even that he is more learned, but that another is richer in reason scarcely any will confess: Rare is he who will concede genius.",237
2,,835,Sor Juana Inés de la Cruz,Without clarity there is no voice of wisdom.,44
4,x,836,Sor Juana Inés de la Cruz,The brightest of appearances can cover the most vulgar realities.,65
2,,837,Sor Juana Inés de la Cruz,"As love is union, it knows no extremes of distance.",51
6,x,838,Sor Juana Inés de la Cruz,"Who thankless flees me, I with love pursue; Who loving follows me, I thankless flee; To him who spurns my love, I bend the knee.",128
7,x,839,Sor Juana Inés de la Cruz,"Love opened a mortal wound. In agony, I worked the blade to make it deeper. Please, I begged, let death come quick.",115
3,x,840,Sor Juana Inés de la Cruz,"I love you with so much passion, neither rudeness nor neglect can explain why I tied my tongue, yet left my heart unchecked.",124
4,x,841,Sor Juana Inés de la Cruz,"I feel a serious agony to achieve a dalliance, which begins as desire and ends in melancholy.",93
2,,842,Sor Juana Inés de la Cruz,"I do not set store by treasures or riches; and therefore it always brings me more joy only to fix riches in my intellect, and never my intellect fix on riches.",159
4,x,843,Sor Juana Inés de la Cruz,"I do not set store by a lovely face that, vanquished, is civil plunder of the ages, and perfidious wealth has never pleased me, for I deem it best, as one of my truths, to deplete the vanities of this life and never this life to deplete in vanities.",249
4,x,844,Sor Juana Inés de la Cruz,"This that you see, the false presentment planned with finest art and all the colored shows and reasoning of shade, doth but disclose the poor deceits by earthly senses fanned!",175
3,x,845,Rabia al-Adawiyya,"In love, nothing exists between heart and heart. Speech is born out of longing, true description from the real taste. The one who tastes, knows; the one who explains, lies. How can you describe the true form of Something in whose presence you are blotted out? And in whose being you still exist? And who lives as a sign for your journey?",337
4,x,846,Rabia al-Adawiyya,"I have two ways of loving You: A selfish one and another way that is worthy of You. In my selfish love, I remember You and You alone. In that other love, You lift the veil and let me feast my eyes on Your living face.",217
4,x,847,Rabia al-Adawiyya,"O God, if I worship You for fear of Hell, burn me in Hell. And if I worship You in hope of Paradise, exclude me from Paradise. But if I worship You for Your Own sake, grudge me not Your everlasting Beauty.",205
7,x,848,Rabia al-Adawiyya,"I am going to light a fire in Paradise and pour water onto Hell, so that both these veils may disappear from the seekers, and that their purpose may be sure, and that the slaves of Allah may see Him, without any object of hope or motive of fear.",245
6,x,849,Rabia al-Adawiyya,You must conceal your good deeds as you conceal your evil deeds.,64
7,x,850,Rabia al-Adawiyya,"I have made You the companion of my heart. But my body is available to those who desire its company, And my body is friendly toward its guest, But the Beloved of my heart is the guest of my soul.",195
4,x,851,Rabia al-Adawiyya,"Your hope in my heart is the rarest treasure Your Name on my tongue is the sweetest word My choicest hours Are the hours I spend with You -- O Allah, I can't live in this world Without remembering You-- How can I endure the next world Without seeing Your face? I am a stranger in Your country And lonely among Your worshippers: This is the substance of my complaint.",366
4,x,852,Rabia al-Adawiyya,My peace is in solitude but my Beloved is always with me. Whenever I witness His Beauty He is my prayer niche (mihrab); toward Him is my qibla.,143
5,x,853,Rabia al-Adawiyya,"I love You with two loves--a selfish love and a Love that You are worthy of. As for the selfish love, it is that I think of You, to the exclusion of everything else. And as for the Love that You are worthy of, Ah! That I no longer see any creature, but I see only You!",268
4,x,854,Rabia al-Adawiyya,"Your hope in my heart is the rarest treasure. Your Name on my tongue is the sweetest word. My choicest hours are the hours I spend with You--O God, I can't live in this world without remembering You.",199
2,,855,Zora Neale Hurston,Truth is a letter from courage!,31
4,x,856,Zora Neale Hurston,"Anytime you catch folks lying, they scared of something!",56
4,x,857,Zora Neale Hurston,The dream is the truth. Then they act and do things accordingly.,64
3,x,858,Zora Neale Hurston,"I have the nerve to walk my own way, however hard, in my search for reality, rather than climb upon the rattling wagon of wishful illusions.",140
5,x,859,Zora Neale Hurston,"I am not afraid of the pen, or the scaffold, or the sword. I will tell the truth wherever I please.",99
2,,860,Zora Neale Hurston,Love makes your soul crawl out from its hiding place.,53
2,,861,Zora Neale Hurston,"Love is like the sea. It's a moving thing, but still and all, it takes its shape from the shore it meets, and it's different with every shore.",142
4,x,862,Zora Neale Hurston,"Love, I find, is like singing. Everybody can do enough to satisfy themselves, though it may not impress the neighbors as being very much.",137
2,,863,Zora Neale Hurston,I did not just fall in love. I made a parachute jump.,53
3,x,864,Zora Neale Hurston,"When one is too old for love, one finds great comfort in good dinners.",70
5,x,865,Zora Neale Hurston,"Justice, like beauty, is in the eye of the beholder.",52
4,x,866,Zora Neale Hurston,God took pattern after a pine tree and built you noble.,55
4,x,867,Zora Neale Hurston,"There is no single face in nature, because every eye that looks upon it, sees it from its own angle. So every man's spice-box seasons his own food.",147
2,,868,Zora Neale Hurston,"Decorate a decoration: the feeling is that there can never be enough of beauty, let alone too much.",99
2,,869,Zora Neale Hurston,Some people could look at a mud puddle and see an ocean with ships.,67
3,x,870,Mirabai,"Worldly comfort is an illusion, as soon as you get it, it goes.",63
5,x,871,Mirabai,"I have chosen the Indestructible for my refuge, Him whom the snake of death will not devour.",92
2,,872,Mirabai,My beloved dwells in my heart all day; I have actually seen that abode of joy.,78
3,x,873,Mirabai,Don't forget love; it will bring all the madness you need to unfurl yourself across the universe.,97
7,x,874,Mirabai,"I want you to have this, all the beauty in my eyes, and the grace of my mouth, all the splendor of my strength, all the wonder of the musk parts of my body, for are we not talking about real love, real love?",207
3,x,875,Mirabai,"O my companion, worldly comfort is an illusion, as soon you get it, it goes.",76
5,x,876,Mirabai,"The Great Dancer is my husband,"" Mira says, ""rain washes off all the other colors.",82
5,x,877,Mirabai,I have felt the swaying of the elephant's shoulders; and now you want me to climb on a jackass? Try to be serious.,114
7,x,878,Mirabai,"One night as I walked in the desert the mountains rode on my shoulders and the sky became my heart, and the earth--my own body, I explored. Every object began to wink at me, and Mira wisely calculated the situation, thinking: My charms must be at their height now would be a good time to rush into His arms, maybe He won't drop me so quick.",340
6,x,879,Mirabai,"In all my lives you have been with me; whether day or night I remember. When you fall out of my sight, I am restless day and night, burning. I climb hilltops; I watch for signs of your return; my eyes are swollen with tears. The ocean of life--that's not genuine the ties of family, the obligations to the world--they're not genuine. It is your beauty that makes me drunk.",372
5,x,880,Mirabai,"My Lord, the love that binds us cannot be broken. It is hard as the diamond that shatters the hammer that strikes it. As polish goes into the gold, my heart has gone into you. As a lotus lives in its water, I am rooted in you. Like the bird that gazes all night at the passing moon, I have blinded myself in giving my eyes to your beauty.",338
2,,881,José Martí,"Liberty is the right of every man to be honest, to think and to speak without hypocrisy.",88
4,x,882,José Martí,"In truth, men speak too much of danger. Let others be terrified by the natural and healthy risks of life! We shall not be frightened! Poison sumac grows in a hard-working man's field, the serpent hisses from its hidden den, and the owl's eye shines in the belfry, but the sun goes on lighting the sky, and truth continues marching across the earth unscathed.",358
2,,883,José Martí,The first duty of a man is to think for himself.,48
2,,884,José Martí,Speech is not meant to conceal the truth but to speak it.,57
4,x,885,José Martí,"Truth is not reasoned; it is recognized, felt, and loved.",57
2,,886,José Martí,"Love is the bond between men, the way to teach and the center of the world.",75
2,,887,José Martí,"Love is... born with the pleasure of looking at each other, it is fed with the necessity of seeing each other, it is concluded with the impossibility of separation!",164
6,x,888,José Martí,"Peoples are made of hate and of love, and more of hate than love. But love, like the sun that it is, sets afire and melts everything.",133
4,x,889,José Martí,Life on earth is a hand-to-hand mortal combat... between the law of love and the law of hate.,93
2,,890,José Martí,"Men of action, above all those whose actions are guided by love, live forever.",78
5,x,891,José Martí,"While more deeper is the wound, the more beautiful the art.",59
3,x,892,José Martí,To beautify life is to give it an object.,41
4,x,893,José Martí,"Wings I saw springing from fair women's shoulders, and from beneath rubble I've seen butterflies flutter.",105
2,,894,José Martí,"All is beautiful and unceasing, all is music and reason, and all, like diamond, is carbon first, then light.",108
3,x,895,José Martí,"Every human being has within him an ideal man, just as every piece of marble contains in a rough state a statue as beautiful as the one that Praxiteles the Greek made of the god Apollo.",185
2,,896,José Martí,"Nature is beautiful, life is a duty, death is not ugly, and no one should be sad or cowardly as long as there are books in bookstores, light in the sky, friends, and mothers.",174
2,,897,Mary Wollstonecraft,"Simplicity and sincerity generally go hand in hand, as both proceed from a love of truth.",89
4,x,898,Mary Wollstonecraft,But what a weak barrier is truth when it stands in the way of an hypothesis!,76
4,x,899,Mary Wollstonecraft,"By this false politeness, sincerity is sacrificed, and truth violated; and thus artificial manners are necessarily taught.",122
4,x,900,Mary Wollstonecraft,"People thinking for themselves have more energy in their voice, than any government, which it is possible for human wisdom to invent; and every government not aware of this sacred truth will, at some period, be suddenly overturned.",231
4,x,901,Mary Wollstonecraft,"In the name of truth and common sense, why should not one woman acknowledge that she can take more exercise than another?",121
5,x,902,Mary Wollstonecraft,"Love from its very nature must be transitory. To seek for a secret that would render it constant would be as wild a search as for the philosopher's stone or the grand panacea: and the discovery would be equally useless, or rather pernicious to mankind. The most holy band of society is friendship.",297
2,,903,Mary Wollstonecraft,"Friendship is a serious affection; the most sublime of all affections, because it is founded on principle, and cemented by time.",128
7,x,904,Mary Wollstonecraft,"I do earnestly wish to see the distinction of sex confounded in society, unless where love animates the behaviour.",114
5,x,905,Mary Wollstonecraft,"I love man as my fellow; but his scepter, real, or usurped, extends not to me, unless the reason of an individual demands my homage; and even then the submission is to reason, and not to man.",191
3,x,906,Mary Wollstonecraft,"It is far better to be often deceived than never to trust; to be disappointed in love, than never to love.",106
7,x,907,Mary Wollstonecraft,"Taught from their infancy that beauty is woman's sceptre, the mind shapes itself to the body, and roaming round its gilt cage, only seeks to adorn its prison.",158
6,x,908,Mary Wollstonecraft,"If we revert to history, we shall find that the women who have distinguished themselves have neither been the most beautiful nor the most gentle of their sex.",158
7,x,909,Mary Wollstonecraft,"The conduct and manners of women, in fact, evidently prove that their minds are not in a healthy state; for, like the flowers which are planted in too rich a soil, strength and usefulness are sacrificed to beauty; and the flaunting leaves, after having pleased a fastidious eye, fade, disregarded on the stalk, long before the season when they ought to have arrived at maturity.",378
6,x,910,Mary Wollstonecraft,"I know that libertines will also exclaim, that woman would be unsexed by acquiring strength of body and mind, and that beauty, soft bewitching beauty! would no longer adorn the daughters of men. I am of a very different opinion, for I think that, on the contrary, we should then see dignified beauty, and true grace; to produce which, many powerful physical and moral causes would concur.",388
2,,911,Oodgeroo Noonuccal,Let no one say the past is dead. The past is all about us and within.,69
2,,912,Oodgeroo Noonuccal,"We are nature and the past, all the old ways gone now and scattered.",68
2,,913,Oodgeroo Noonuccal,"We are the wonder tales of Dream Time, the tribal legends told.",63
2,,914,Oodgeroo Noonuccal,"My love is a gentle thing, / Soft as the voice of the dove, / Soft as the touch of the breeze, / So is my love.",111
3,x,915,Oodgeroo Noonuccal,"My son, your troubled eyes search mine, / Puzzled and hurt by colour line.",74
2,,916,Oodgeroo Noonuccal,"To our fathers' fathers the pain, the sorrow; / To our children's children the glad tomorrow.",93
2,,917,Oodgeroo Noonuccal,"I'm very rich because I'm loved by all my people, it's a very beautiful thing. No money could surpass that. The love that my people feel for me is just so tremendous. It's a lovely feeling.",189
6,x,918,Oodgeroo Noonuccal,"In the Aboriginal world we give way to all emotions. In the 'British', the present white generation of Australian people have been told that to cry is weakness... But in the Aboriginal world, to cry is a beautiful thing. To us it's compassion...",245
2,x,919,Oodgeroo Noonuccal,"Let no one say the past is dead. The past is all about us and within... I am away at the campfire in the bush, among my own people, sitting on the ground, no walls about me, the stars over me, the tall surrounding trees that stir in the wind making their own music...",267
2,,920,Oodgeroo Noonuccal,"We are the quiet daybreak paling the dark lagoon. We are the shadow-ghosts creeping back as the camp fires burn low. We are nature and the past, all the old ways gone now and scattered.",185
2,,921,Malala Yousafzai,"If you want to resolve a dispute or come out from conflict, the very first thing is to speak the truth. If you have a headache and tell the doctor you have a stomachache, how can the doctor help? You must speak the truth. The truth will abolish fear.",250
2,,922,Malala Yousafzai,We realize the importance of our voices only when we are silenced.,66
2,,923,Malala Yousafzai,"When the whole world is silent, even one voice becomes powerful.",64
2,,924,Malala Yousafzai,We must believe in the power and strength of our words. Our words can change the world.,87
2,,925,Malala Yousafzai,"I raise up my voice--not so I can shout, but so that those without a voice can be heard.",88
1,,926,Malala Yousafzai,This is what my soul is telling me: be peaceful and love everyone.,66
2,,927,Malala Yousafzai,"If hating is the worst way to exert your energy, love is the best way to use your energy. The more you give, the more you get. Be compassionate. Tell those you love that you love them.",184
1,,928,Malala Yousafzai,I cannot believe how much love people have shown me.,52
5,x,929,Malala Yousafzai,We human beings don't realize how great God is. He has given us an extraordinary brain and a sensitive loving heart.,116
5,x,930,Malala Yousafzai,"We human beings don't realize how great God is. He has given us an extraordinary brain and a sensitive loving heart. He has blessed us with two lips to talk and express our feelings, two eyes which see a world of colours and beauty, two feet which walk on the road of life, two hands to work for us, and two ears to hear the words of love.",339
4,x,931,Malala Yousafzai,"I reassured my mother that it didn't matter to me if my face was not symmetrical. Me, who had always cared about my appearance, how my hair looked! But when you see death, things change. 'It doesn't matter if I can't smile or blink properly,' I told her. 'I'm still me, Malala. The important thing is God has given me my life.'",327
5,x,932,Malala Yousafzai,"How great God is! He has given us eyes to see the beauty of the world, hands to touch it, a nose to experience all its fragrance, and a heart to appreciate it all. But we don't realize how miraculous our senses are until we lose one.",233
2,,933,Octavia E. Butler,All that you touch You Change. All that you Change Changes you. The only lasting truth Is Change.,97
4,x,934,Octavia E. Butler,"Beware: Ignorance Protects itself. Ignorance Promotes suspicion. Suspicion Engenders fear. Fear quails, Irrational and blind, Or fear looms, Defiant and closed. Blind, closed, Suspicious, afraid, Ignorance Protects itself, And protected, Ignorance grows.",254
3,x,935,Octavia E. Butler,"Beware: All too often, We say What we hear others say. We think What we're told that we think. We see What we're permitted to see. Worse! We see what we're told that we see. Repetition and pride are the keys to this. To hear and to see Even an obvious lie Again And again and again May be to say it, Almost by reflex Then to defend it Because we've said it And at last to embrace it Because we've defended it And because we cannot admit That we've embraced and defended An obvious lie. Thus, without thought, Without intent, We make Mere echoes Of ourselves-- And we say What we hear others say.",595
2,,936,Octavia E. Butler,"He thought about that for a moment, wondered what he should say. The truth or nothing. The truth.",97
2,,937,Octavia E. Butler,"I'm trying to speak--to write--the truth. I'm trying to be clear. I'm not interested in being fancy, or even original. Clarity and truth will be plenty, if I can only achieve them.",180
2,,938,Octavia E. Butler,Kindness eases change. Love quiets fear.,40
2,,939,Octavia E. Butler,"Kindness eases change. Love quiets fear. And a sweet and powerful positive obsession blunts pain, diverts rage, and engages each of us in the greatest, the most intense of our chosen struggles.",193
3,x,940,Octavia E. Butler,"The child in each of us knows paradise. Paradise is home. Home as it was or home as it should have been. Paradise is one's own place, one's own people, one's own world, knowing and known, perhaps even loving and loved.",218
3,x,941,Octavia E. Butler,"My God doesn't love me or hate me or watch over me or know me at all, and I feel no love for or loyalty to my God. My God just is.",130
2,,942,Octavia E. Butler,You are horror and beauty in rare combination.,46
6,x,943,Octavia E. Butler,"A partner must be biologically interesting, attractive to us, and you are fascinating. You are horror and beauty in rare combination. In a very real way, you've captured us, and we can't escape. But you're more than only the composition and the workings of your bodies. You are your personalities, your cultures.",312
7,x,944,Octavia E. Butler,Nothing. It just finds you a lot more attractive than it does most Humans. What can you do with a beautiful woman that you can't do with an ugly one? Nothing. It's just a matter of preference.,192
2,,945,Sappho,"Although only breath, words which I command are immortal.",57
2,,946,Sappho,What cannot be said will be wept.,33
4,x,947,Sappho,"May I write words more naked than flesh, stronger than bone, more resilient than sinew, sensitive than nerve.",109
3,x,948,Sappho,"Beauty endures only for as long as it can be seen; goodness, beautiful today, will remain so tomorrow.",102
2,,949,Sappho,"Someone, I tell you, in another time will remember us.",54
2,,950,Sappho,Love shook my heart like the wind on the mountain rushing over the oak trees.,77
2,,951,Sappho,"Once again love drives me on, that loosener of limbs, bittersweet creature against which nothing can be done.",109
5,x,952,Sappho,"With his venom irresistible and bittersweet, that loosener of limbs, Love reptile-like strikes me down.",103
